id,province_th,province_en,lat,lng
1,กรุงเทพมหานคร,Bangkok,13.7563,100.5018
2,กระบี่,Krabi,8.0863,98.9063
3,กาญจนบุรี,Kanchanaburi,14.0023,99.5328
4,กาฬสินธุ์,Kalasin,16.4314,103.5058
5,กำแพงเพชร,Kamphaeng Phet,16.4827,99.5226
6,ขอนแก่น,Khon Kaen,16.4322,102.8236
7,จันทบุรี,Chanthaburi,12.6113,102.1038
8,ฉะเชิงเทรา,Chachoengsao,13.6904,101.0779
9,ชลบุรี,Chonburi,13.3611,100.9847
10,ชัยนาท,Chai Nat,15.1851,100.1251
11,ชัยภูมิ,Chaiyaphum,15.8068,102.0317
12,ชุมพร,Chumphon,10.4930,99.1800
13,เชียงราย,Chiang Rai,19.9105,99.8406
14,เชียงใหม่,Chiang Mai,18.7883,98.9853
15,ตรัง,Trang,7.5593,99.6115
16,ตราด,Trat,12.2427,102.5175
17,ตาก,Tak,16.8798,99.1257
18,นครนายก,Nakhon Nayok,14.2069,101.2131
19,นครปฐม,Nakhon Pathom,13.8199,100.0624
20,นครพนม,Nakhon Phanom,17.3920,104.7693
21,นครราชสีมา,Nakhon Ratchasima,14.9799,102.0978
22,นครศรีธรรมราช,Nakhon Si Thammarat,8.4325,99.9631
23,นครสวรรค์,Nakhon Sawan,15.7030,100.1367
24,นนทบุรี,Nonthaburi,13.8591,100.5148
25,นราธิวาส,Narathiwat,6.4254,101.8253
26,น่าน,Nan,18.7756,100.7730
27,บึงกาฬ,Bueng Kan,18.3609,103.6461
28,บุรีรัมย์,Buriram,14.9930,103.1029
29,ปทุมธานี,Pathum Thani,14.0208,100.5250
30,ประจวบคีรีขันธ์,Prachuap Khiri Khan,11.8126,99.7957
31,ปราจีนบุรี,Prachin Buri,14.0519,101.3661
32,ปัตตานี,Pattani,6.8695,101.2501
33,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.3692,100.5877
34,พะเยา,Phayao,19.1664,99.9046
35,พังงา,Phang Nga,8.4511,98.5255
36,พัทลุง,Phatthalung,7.6166,100.0740
37,พิจิตร,Phichit,16.4419,100.3487
38,พิษณุโลก,Phitsanulok,16.8211,100.2659
39,เพชรบุรี,Phetchaburi,13.1119,99.9399
40,เพชรบูรณ์,Phetchabun,16.4189,101.1594
41,แพร่,Phrae,18.1445,100.1403
42,ภูเก็ต,Phuket,7.8804,98.3923
43,มหาสารคาม,Maha Sarakham,16.1851,103.3004
44,มุกดาหาร,Mukdahan,16.5426,104.7236
45,แม่ฮ่องสอน,Mae Hong Son,19.2986,97.9654
46,ยโสธร,Yasothon,15.7928,104.1452
47,ยะลา,Yala,6.5413,101.2803
48,ร้อยเอ็ด,Roi Et,16.0538,103.6520
49,ระนอง,Ranong,9.9529,98.6085
50,ระยอง,Rayong,12.6814,101.2816
51,ราชบุรี,Ratchaburi,13.5283,99.8134
52,ลพบุรี,Lop Buri,14.7995,100.6534
53,ลำปาง,Lampang,18.2888,99.4900
54,ลำพูน,Lamphun,18.5744,99.0087
55,เลย,Loei,17.4860,101.7223
56,ศรีสะเกษ,Si Sa Ket,15.1186,104.3220
57,สกลนคร,Sakon Nakhon,17.1664,104.1486
58,สงขลา,Songkhla,7.1756,100.6142
59,สตูล,Satun,6.6238,100.0673
60,สมุทรปราการ,Samut Prakan,13.5991,100.5998
61,สมุทรสงคราม,Samut Songkhram,13.4098,100.0022
62,สมุทรสาคร,Samut Sakhon,13.5475,100.2747
63,สระแก้ว,Sa Kaeo,13.8241,102.0645
64,สระบุรี,Saraburi,14.5289,100.9107
65,สิงห์บุรี,Sing Buri,14.8910,100.3967
66,สุโขทัย,Sukhothai,17.0070,99.8266
67,สุพรรณบุรี,Suphan Buri,14.4744,100.1177
68,สุราษฎร์ธานี,Surat Thani,9.1382,99.3214
69,สุรินทร์,Surin,14.8820,103.4937
70,หนองคาย,Nong Khai,17.8782,102.7418
71,หนองบัวลำภู,Nong Bua Lam Phu,17.2044,102.4260
72,อ่างทอง,Ang Thong,14.5896,100.4549
73,อำนาจเจริญ,Amnat Charoen,15.8656,104.6257
74,อุดรธานี,Udon Thani,17.4138,102.7872
75,อุตรดิตถ์,Uttaradit,17.6200,100.0993
76,อุทัยธานี,Uthai Thani,15.3835,100.0248
77,อุบลราชธานี,Ubon Ratchathani,15.2448,104.8473
